Apple Pascal 1.1 SYSTEM.COMPILER -- global data map

Global area: offsets 1..1224 (2448 bytes), from PARAM SIZE
plus DATA SIZE of the outermost block (PASCALCO, lex level 0).
Both words count: a UCSD activation record holds the block's
parameters and its locals in one offset space starting at 1, and
DATA SIZE alone is short by the two parameter words (finding 46).
Distinct global offsets touched: 133
Words accounted for by inferred objects: 1228 of 1224
  (the excess is the record at offset 3, whose five words are
   counted again as the four fields addressed individually)

Offsets are WORD offsets into the shared global activation record.
'scalar' = address never taken, only whole-word load/store.
'aggregate' = address taken with LAO, so something bigger; the word
count is exact when MOV/LDM/STM pinned it, otherwise it is an upper
bound set by the next touched offset.

VERIFIED BINARY FACT for the access counts; the object sizes marked
'bounded by next touched offset' are STRONG INFERENCE.

  off kind        words    rd    wr    & users  sizing / evidence
    1 scalar-byref      1    66     0    1    14  address taken only to pass it | passed to CSP 1 NEW x1
    2 scalar-byref      1    32     1    3    12  address taken only to pass it | passed to CSP 1 NEW x3
    3 record          5   202    62   10    32  sized by MOV/LDM/STM/compare; spans 5 words but words 4..7 are also addressed individually, so these are its fields | MOV 5 word(s) x7; passed to CSP 1 NEW x2; passed to CLP 36 x1
    4 scalar          1    19    17    0     9  word access only
    5 aggregate       1    21    22    5    12  sized by MOV/LDM/STM/compare | MOV 1 word(s) x5
    6 scalar          1    10     9    0     5  word access only
    7 scalar          1     5     4    0     5  word access only
    8 scalar          1    38    13    0    18  word access only
    9 scalar          1    69    40    0    25  word access only
   10 scalar          1    45    28    0    16  word access only
   11 scalar          1    36    19    0    17  word access only
   12 scalar-byref      1    58     0    1    23  address taken only to pass it | passed to CSP 1 NEW x1
   13 scalar          1    48    26    0    15  word access only
   14 scalar-byref      1   112    47    1    14  address taken only to pass it | passed to CSP 7 IDSEARCH x1
   15 scalar          1   256    24    0    60  word access only
   16 scalar          1    12    16    0    10  word access only
   17 aggregate       4     0     0   28    16  sized by MOV/LDM/STM/compare | MOV 4 word(s) x13; EQU type=BYTE len=8 x10; passed to CSP 8 TREESEARCH x2
   21 scalar-byref      1    10     1    2     6  address taken only to pass it | passed to CGP 10 x1; passed to CXP 1,10 x1
   22 scalar-byref      1    12     6    2     7  address taken only to pass it | passed to CSP 9 TIME x2
   23 aggregate       1    11     8    8     9  sized by MOV/LDM/STM/compare | MOV 1 word(s) x8
   24 scalar          1     4     2    0     2  word access only
   25 scalar          1     7     5    0     7  word access only
   26 scalar          1     1     3    0     2  word access only
   27 scalar          1     3     2    0     3  word access only
   28 scalar          1     6     2    0     6  word access only
   29 scalar          1     1     4    0     4  word access only
   30 scalar          1     2     2    0     4  word access only
   31 scalar          1    11     3    0    10  word access only
   32 scalar          1    39     3    0    24  word access only
   33 scalar          1     2     2    0     4  word access only
   34 scalar          1     4     3    0     6  word access only
   35 scalar          1     3     2    0     4  word access only
   36 scalar          1    15     4    0     7  word access only
   37 scalar          1     5     3    0     5  word access only
   38 scalar          1     2     3    0     5  word access only
   39 scalar          1     1     3    0     3  word access only
   40 scalar          1    10     5    0     6  word access only
   41 scalar          1    11     3    0     7  word access only
   42 scalar          1     1     2    0     3  word access only
   43 scalar          1     5     3    0     5  word access only
   44 scalar          1     3     6    0     8  word access only
   45 scalar          1     3     2    0     5  word access only
   46 scalar          1     1     3    0     4  word access only
