Apple Pascal 1.3 SYSTEM.COMPILER -- global data map

Global area: offsets 1..1357 (2714 bytes), from PARAM SIZE
plus DATA SIZE of the outermost block (lex level 0).
Both words count: a UCSD activation record holds the block's
parameters and its locals in one offset space starting at 1, and
DATA SIZE alone is short by the two parameter words (finding 46).
Distinct global offsets touched: 139
Words accounted for by inferred objects: 1361 of 1357
  (the excess is the record at offset 3, whose five words are
   counted again as the four fields addressed individually)

Offsets are WORD offsets into the shared global activation record.
'scalar' = address never taken, only whole-word load/store.
'aggregate' = address taken with LAO, so something bigger; the word
count is exact when MOV/LDM/STM pinned it, otherwise it is an upper
bound set by the next touched offset.

VERIFIED BINARY FACT for the access counts; the object sizes marked
'bounded by next touched offset' are STRONG INFERENCE.

  off kind        words    rd    wr    & users  sizing / evidence
    1 scalar-byref      1    69     0    1    14  address taken only to pass it | passed to CSP 1 NEW x1
    2 scalar-byref      1    32     1    3    12  address taken only to pass it | passed to CSP 1 NEW x3
    3 record          5   216    62   10    32  sized by MOV/LDM/STM/compare; spans 5 words but words 4..7 are also addressed individually, so these are its fields | MOV 5 word(s) x7; passed to CSP 1 NEW x2; passed to CLP 37 x1
    4 scalar          1    19    17    0     9  word access only
    5 aggregate       1    22    23    5    12  sized by MOV/LDM/STM/compare | MOV 1 word(s) x5
    6 scalar          1    10    10    0     6  word access only
    7 scalar          1     5     4    0     5  word access only
    8 scalar          1    38    13    0    18  word access only
    9 scalar          1    72    40    0    25  word access only
   10 scalar          1    43    25    0    17  word access only
   11 scalar          1    36    19    0    17  word access only
   12 scalar-byref      1    60     0    1    24  address taken only to pass it | passed to CSP 1 NEW x1
   13 scalar          1    49    26    0    15  word access only
   14 scalar-byref      1   118    48    1    14  address taken only to pass it | passed to CGP 2 x1
   15 scalar          1   260    24    0    61  word access only
   16 scalar          1    12    16    0    10  word access only
   17 aggregate       4     0     0   28    16  sized by MOV/LDM/STM/compare | MOV 4 word(s) x13; EQU type=BYTE len=8 x10; passed to CGP 3 x2
   21 scalar-byref      1    10     1    2     6  address taken only to pass it | passed to CGP 12 x1; passed to CXP 1,12 x1
   22 scalar-byref      1     8     4    2     7  address taken only to pass it | passed to CSP 9 TIME x2
   23 aggregate       1    12     8    8     9  sized by MOV/LDM/STM/compare | MOV 1 word(s) x8
   24 scalar          1     4     2    0     2  word access only
   25 scalar          1     6     4    0     6  word access only
   26 scalar          1     1     3    0     2  word access only
   27 scalar          1     3     2    0     3  word access only
   28 scalar          1     6     2    0     6  word access only
   29 scalar          1     1     4    0     4  word access only
   30 scalar          1     2     2    0     4  word access only
   31 scalar          1     1     1    0     2  word access only
   32 scalar          1    11     3    0    10  word access only
   33 scalar          1    41     3    0    25  word access only
   34 scalar          1     2     2    0     4  word access only
   35 scalar          1     4     3    0     6  word access only
   36 scalar          1     3     2    0     4  word access only
   37 scalar          1    16     4    0     8  word access only
   38 scalar          1     5     3    0     5  word access only
   39 scalar          1     2     3    0     5  word access only
   40 scalar          1     1     3    0     3  word access only
   41 scalar          1    10     5    0     6  word access only
   42 scalar          1    13     3    0     8  word access only
   43 scalar          1     1     2    0     3  word access only
   44 scalar          1     6     4    0     6  word access only
   45 scalar          1     3     6    0     8  word access only
   46 scalar          1     3     2    0     5  word access only
   47 scalar          1     1     3    0     4  word access only
   48 scalar          1     8     3    0     8  word access only
   49 scalar          1     5     3    0     7  word access only
   50 scalar          1     9     3    0     8  word access only
   51 scalar          1     1     2    0     3  word access only
   52 scalar          1     8     3    0     6  word access only
   53 scalar          1     1     3    0     3  word access only
   54 scalar          1     2     7    0     5  word access only
   55 scalar-byref      1    11     0    1     9  address taken only to pass it | passed to CSP 1 NEW x1
   56 scalar-byref      1     3     0    1     3  address taken only to pass it | passed to CSP 1 NEW x1
   57 scalar-byref      1    15     0    1    10  address taken only to pass it | passed to CSP 1 NEW x1
   58 scalar-byref      1    11     0    1     8  address taken only to pass it | passed to CSP 1 NEW x1
   59 scalar-byref      1     3     0    1     3  address taken only to pass it | passed to CSP 1 NEW x1
   60 scalar-byref      1     5     0    1     2  address taken only to pass it | passed to CSP 1 NEW x1
   61 scalar-byref      1    17     0    1    10  address taken only to pass it | passed to CSP 1 NEW x1
   62 scalar-byref      1    30     0    1    18  address taken only to pass it | passed to CSP 1 NEW x1
   63 scalar-byref      1    14     0    1    10  address taken only to pass it | passed to CSP 1 NEW x1
   64 scalar-byref      1    42     0    1    22  address taken only to pass it | passed to CSP 1 NEW x1
   65 scalar          1     2     3    0     4  word access only
   66 scalar-byref      1     5     5    1     6  address taken only to pass it | passed to CLP 26 x1
   67 scalar          1     5     5    0     4  word access only
   68 scalar-byref      1     8     1    1     3  address taken only to pass it | passed to CSP 1 NEW x1
   69 scalar-byref      1     3     0    1     2  address taken only to pass it | passed to CSP 1 NEW x1
   70 scalar-byref      1     4     0    1     3  address taken only to pass it | passed to CSP 1 NEW x1
   71 scalar          1     5     2    0     5  word access only
   72 scalar-byref      1     2     0    1     2  address taken only to pass it | passed to CSP 1 NEW x1
   73 scalar-byref      1     3     0    1     3  address taken only to pass it | passed to CSP 1 NEW x1
   74 aggregate       2     2     0    1     2  bounded by next touched offset | passed to CSP 1 NEW x1
   76 scalar-byref      1     4     0    1     4  address taken only to pass it | passed to CSP 1 NEW x1
   77 scalar-byref      1     2     0    1     2  address taken only to pass it | passed to CSP 1 NEW x1
   78 scalar-byref      1     2     0    1     2  address taken only to pass it | passed to CSP 1 NEW x1
   79 scalar          1     3     3    0     2  word access only
   80 scalar          1    33     8    0    20  word access only
   81 scalar          1     3     3    0     3  word access only
   82 scalar          1     1     2    0     3  word access only
   83 scalar-byref      1     1     0    2     2  address taken only to pass it | passed to CSP 32 MARK x1; passed to CSP 33 RELEASE x1
   84 scalar-byref      1    25     3    4     6  address taken only to pass it | passed to CSP 1 NEW x4
   85 scalar          1     1     3    0     3  word access only
   86 scalar          1     1     4    0     3  word access only
   87 scalar          1    14     6    0     8  word access only
