Apple Pascal 1.1 SYSTEM.ASSMBLER -- global data map

Global area: offsets 1..2177 (4354 bytes), from PARAM SIZE
plus DATA SIZE of the outermost block (lex level 0).
Both words count: a UCSD activation record holds the block's
parameters and its locals in one offset space starting at 1, and
DATA SIZE alone is short by the two parameter words (finding 46).
Distinct global offsets touched: 122
Words accounted for by inferred objects: 2158 of 2177
  (the excess is the record at offset 3, whose five words are
   counted again as the four fields addressed individually)

Offsets are WORD offsets into the shared global activation record.
'scalar' = address never taken, only whole-word load/store.
'aggregate' = address taken with LAO, so something bigger; the word
count is exact when MOV/LDM/STM pinned it, otherwise it is an upper
bound set by the next touched offset.

VERIFIED BINARY FACT for the access counts; the object sizes marked
'bounded by next touched offset' are STRONG INFERENCE.

  off kind        words    rd    wr    & users  sizing / evidence
    3 scalar-byref      1   120     9   11    24  address taken only to pass it | passed to CSP 1 NEW x11
    4 scalar          1    70    42    0    30  word access only
    5 scalar          1    35     7    0     5  word access only
    6 scalar          1    24    13    0    10  word access only
    7 scalar-byref      1    15     9    1     4  address taken only to pass it | passed to CLP 28 x1
    8 scalar          1    33    18    0     9  word access only
    9 scalar          1    23     5    0     4  word access only
   10 aggregate       1     1     0   24    12  bounded by next touched offset | SIND 6 x9; passed to CXP 1,12 x7; passed to CXP 1,2 x2
   11 scalar          1    79    17    0    11  word access only
   12 scalar          1    34     6    0    23  word access only
   13 scalar-byref      1    22     4    5     5  address taken only to pass it | passed to CSP 1 NEW x5
   14 scalar          1     8     2    0     6  word access only
   15 scalar          1    30     2    0    16  word access only
   16 scalar          1     1     2    0     3  word access only
   17 scalar          1     3     6    0     5  word access only
   18 scalar          1     4     3    0     3  word access only
   19 scalar          1     0     3    0     3  word access only
   20 scalar          1     7     4    0     6  word access only
   21 scalar          1     8     6    0     8  word access only
   22 scalar          1    15     7    0    11  word access only
   23 scalar          1    14     7    0     4  word access only
   24 scalar          1     7     3    0     6  word access only
   25 scalar          1    12     2    0     6  word access only
   26 scalar          1     3     1    0     2  word access only
   27 scalar          1    32     5    0     8  word access only
   28 scalar-byref      1     9     5    1     2  address taken only to pass it | passed to CLP 28 x1
   29 scalar          1     3     5    0     4  word access only
   31 scalar          1     3     2    0     3  word access only
   32 scalar          1    12    10    0    10  word access only
   33 scalar          1     5     2    0     4  word access only
   34 scalar          1     4     3    0     2  word access only
   35 scalar          1     3     3    0     3  word access only
   36 scalar          1    12     2    0     6  word access only
   37 scalar          1     2     1    0     3  word access only
   38 scalar          1     2     1    0     3  word access only
   39 scalar          1     7     4    0     4  word access only
   40 scalar          1     2     3    0     1  word access only
   41 scalar          1    25     9    0     7  word access only
   42 scalar          1     6     4    0     4  word access only
   43 scalar          1    16     3    0     3  word access only
   44 scalar          1     6     3    0     4  word access only
   45 scalar-byref      1     0     1    1     2  address taken only to pass it | passed to CLP 23 x1
   46 scalar-byref      1     0     1    1     2  address taken only to pass it | passed to CLP 23 x1
   47 scalar-byref      1     0     1    1     2  address taken only to pass it | passed to CLP 23 x1
   48 scalar-byref      1     0     1    4     2  address taken only to pass it | passed to CLP 23 x4
   49 scalar          1     3     1    0     2  word access only
   50 scalar          1     7     5    0     3  word access only
   51 scalar          1     2     2    0     3  word access only
   52 scalar          1    15     3    0    10  word access only
   53 scalar          1     8     7    0     6  word access only
   54 scalar          1     8     4    0     6  word access only
   55 scalar          1     2     3    0     4  word access only
   56 scalar          1     2     3    0     3  word access only
   57 scalar          1     1     1    0     2  word access only
   58 scalar          1     2     3    0     3  word access only
   59 scalar          1     1     3    0     3  word access only
   60 scalar          1     4     3    0     4  word access only
   61 scalar          1     0     1    0     1  word access only
   62 scalar          1     4    17    0    12  word access only
   63 scalar          1     4     2    0     6  word access only
   64 scalar          1     6     2    0     6  word access only
   65 scalar          1     5     3    0     3  word access only
   66 scalar          1     1     3    0     3  word access only
   67 scalar          1     2     4    0     4  word access only
   68 scalar          1    18     1    0    16  word access only
   69 scalar          1     8     8    0     4  word access only
   70 scalar          1     1     6    0     4  word access only
   71 scalar-byref      1    19     5    3     5  address taken only to pass it | passed to CSP 1 NEW x3
   72 scalar          1    18     1    0     5  word access only
   73 aggregate     300     0     0  115    18  bounded by next touched offset | passed to OS.19 FWRITESTRING x37; passed to OS.22 FWRITELN x34; passed to OS.13 FWRITEINT x18
  373 scalar-byref      1     0     0    1     1  address taken only to pass it | passed to OS.3 FINIT x1
  374 aggregate      16     0     0    4     2  bounded by next touched offset | passed to CGP 2 x1
  390 aggregate      16     0     0    4     4  bounded by next touched offset | passed to OS.19 FWRITESTRING x1; passed to CGP 2 x1
  406 aggregate      41     0     0   14     5  bounded by next touched offset | LDB (byte) x7; passed to OS.23 SCONCAT x2; passed to CGP 16 x1
  447 aggregate      41     0     0    6     4  bounded by next touched offset | passed to CXP 1,9 x2; passed to OS.19 FWRITESTRING x1; passed to OS.22 FWRITELN x1
  488 aggregate      51     0     0   10     9  sized by MOV/LDM/STM/compare | MOV 51 word(s) x9; passed to CSP 10 FILLCHAR x1
  539 aggregate      51     0     0   27    13  sized by MOV/LDM/STM/compare | MOV 51 word(s) x9; passed to CSP 2 MOVELEFT x7; STB (byte) x5
  590 aggregate       8     0     0    7     5  bounded by next touched offset | passed to OS.5 FOPEN x6
  598 record          6     0     1    7     5  sized by MOV/LDM/STM/compare; spans 6 words but words 599..603 are also addressed individually, so these are its fields | MOV 6 word(s) x6; EQU type=WORD len=6 x1
  599 scalar          1     0     1    0     1  word access only
  600 scalar          1     0     1    0     1  word access only
