UCSD II.0 compiler VAR block, laid out under the compiler's own
allocation rule, aligned by name against Apple Pascal 1.1.

Allocation starts at word 1, and identifiers within one declaration
are allocated in REVERSE order of appearance: VARDECLARATION
prepends them to a list, then walks it assigning VADDR := LC
(finding 33). So `VAR LC,IC: ADDRRANGE` puts IC at the lower
offset, which is what the binary shows.

Apple's compiler is a standalone program, not a segment of
PASCALSYSTEM, and its VAR block is edited -- so the useful column
is DRIFT. A run of equal drift means Apple kept II.0's order for
that stretch; each step up is a variable Apple inserted.

 II.0 name             wds  Apple  drift
------------------------------------------------------------
    1 CODEP              1      2     +1
    2 SYMBUFP            1      1     -1
    3 GATTR              5      -       
    8 TOP                1      8     +0
    9 IC                 1      9     +0
   10 LC                 1     10     +0
   11 TEST               1     11     +0
   12 INTPTR             1     12     +0
   13 SEG                1     13     +0
   14 SYMCURSOR          1     14     +0
   15 SY                 1     15     +0
   16 OP                 1     16     +0
   17 ID                 4     17     +0
   21 LGTH               1     22     +1
   22 VAL                1     23     +1
   23 DISX               1     24     +1
   24 LCMAX              1     25     +1
   25 GETSTMTLEV         1     26     +1
   26 PUBLICPROCS        1     27     +1
   27 SYSCOMP            1     28     +1
   28 LIBNOTOPEN         1     29     +1
   29 FLIPBYTES          1     30     +1
   30 ININTERFACE        1     31     +1
   31 INMODULE           1     32     +1
   32 STARTINGUP         1      -       
   33 SEPPROC            1      -       
   34 NOSWAP             1      -       
   35 USING              1     36     +1
   36 INCLUDING          1     37     +1
   37 DP                 1     38     +1
   38 LSEPPROC           1     40     +2
   39 TINY               1     42     +3
   40 LIST               1     43     +3
   41 DLINKERINFO        1      -       
   42 CLINKERINFO        1      -       
   43 BPTONLINE          1     46     +3
   44 IOCHECK            1     47     +3
   45 CODEINSEG          1     48     +3
   46 NOISY              1     49     +3
   47 DEBUGGING          1     50     +3
   48 RANGECHECK         1     51     +3
   49 GOTOOK             1     52     +3
   50 PRTERR             1     53     +3
   51 STRGPTR            1     54     +3
   52 INTRACTVPTR        1     55     +3
   53 NILPTR             1     56     +3
   54 TEXTPTR            1     57     +3
   55 BOOLPTR            1     58     +3
   56 CHARPTR            1     59     +3
   57 LONGINTPTR         1     60     +3
   58 REALPTR            1     61     +3
   59 USINGLIST          1     63     +4
   60 FWPTR              1     64     +4
   61 OUTERBLOCK         1     65     +4
   62 OUTPUTPTR          1     66     +4
   63 INPUTPTR           1     67     +4
   64 MODPTR             1     68     +4
   65 UFCTPTR            1     69     +4
   66 UPRCPTR            1     70     +4
   67 UFLDPTR            1     71     +4
   68 UVARPTR            1     73     +5
   69 UCSTPTR            1     74     +5
   70 UTYPPTR            1     75     +5
   71 GLOBTESTP          1     76     +5
   72 LEVEL              1     77     +5
   73 STMTLEV            1     78     +5
   74 BEGSTMTLEV         1     79     +5
   75 MARKP              1     80     +5
   76 TOS                1     81     +5
   77 GLEV               1     82     +5
   78 NEWBLOCK           1     83     +5
   79 NEXTSEG            1     85     +6
   80 SEGINX             1     86     +6
   81 SCONST             1     87     +6
   82 STRGCSTIC          1     88     +6
   83 SMALLESTSPACE      1     89     +6
   84 SYMBLK             1     90     +6
   85 STARTDOTS          1     91     +6
   86 SCREENDOTS         1     92     +6
   87 LINEINFO           1     93     +6
   88 LOWTIME            1     94     +6
   89 LINESTART          1     95     +6
   90 NEXTPROC           1     96     +6
   91 CURPROC            1     97     +6
   92 TYPEDELS           4     98     +6
   96 STATBEGSYS         4    102     +6
  100 FACBEGSYS          4    106     +6
  104 SELECTSYS          4    110     +6
  108 BLOCKBEGSYS        4    114     +6
  112 TYPEBEGSYS         4    118     +6
  116 SIMPTYPEBEGSYS     4    122     +6
  120 CONSTBEGSYS        4    126     +6
  124 VARS               1    130     +6
  125 DISPLAY           52    131     +6
  177 PFNUMOF            6      -       
  183 PROCTABLE        150    185     +2
  333 SEGTABLE         128    335     +2
  461 COMMENT            1    487    +26
  462 SYSTEMLIB         21    488    +26
  483 NEXTJTAB           1    509    +26
  484 JTAB              25    510    +26
  509 REFFILE           40    535    +26
  549 REFBLK             1    575    +26
  550 NREFS              1    576    +26
  551 REFLIST            1    577    +26
  552 PREVSYMBLK         1    579    +27
  553 OLDSYMBLK          1    580    +27
  554 PREVLINESTART      1    581    +27
  555 PREVSYMCURSOR      1    582    +27
  556 OLDLINESTART       1    583    +27
  557 OLDSYMCURSOR       1    584    +27
  558 USEFILE            1    585    +27
  559 LIBRARY           40    586    +27
  599 INCLFILE          40    626    +27
  639 LP               301    666    +27
  940 CURBLK             1    967    +27
  941 CURBYTE            1    968    +27
  942 DISKBUF          256    969    +27
------------------------------------------------------------
118 II.0 variables; 111 of them are names we have recovered in Apple, in 12 runs of constant drift.
