SYSTEM.COMPILER segment/procedure map -- Apple Pascal 1.1
source image : Apple II Pascal 1.1 APPLE2_ 680-0005-01.dsk
file blocks  : 6..80 (75 blocks, 38400 bytes)
copyright    : (C)Apple Computer Inc. 1979,1980 (C)U.C.Regents 1979

Derived directly from the binary by tools/a2pascal/codefile.py.
VERIFIED BINARY FACT unless marked otherwise.

--- segment  1  PASCALCO  dictslot=1  block=1   len=4486   mtype=pcode-lsb ver=2 nproc=29
      #   JTAB  enter   exit  param   data  lex  size  ok  kind
      1 0x1148 0x10E0 0x1122      4   2444    0    66  y  pcode
      2 0x0182 0x0000 0x0172      2    184    1   370  y  pcode
      3 0x0266 0x0184 0x025C      0      2    1   216  y  pcode
      4 0x036C 0x0268 0x0361      0    106    1   249  y  pcode
      5 0x03D4 0x036E 0x03C7      2      6    1    89  y  pcode
      6 0x0764 0x04D2 0x0751      0     10    1   639  y  pcode
      7 0x078A 0x0766 0x077F      4      0    1    25  y  pcode
      8 0x082E 0x078C 0x0821      4      4    1   149  y  pcode
      9 0x086E 0x0830 0x0864      6      2    1    52  y  pcode
     10 0x088C 0x0870 0x0881      6      0    1    17  y  pcode
     11 0x08B6 0x088E 0x08AB      2      0    1    29  y  pcode
     12 0x0476 0x03D6 0x046C      0      0    1   150  y  pcode
     13 0x0CB4 0x0C6A 0x0CA9      6      4    1    63  y  pcode
     14 0x08D2 0x08B8 0x08C6      8      0    1    14  y  pcode
     15 0x08F6 0x08D4 0x08EC      6      0    1    24  y  pcode
     16 0x0910 0x08F8 0x0906      6      0    1    14  y  pcode
     17 0x0926 0x0912 0x091B      6      0    1     9  y  pcode
     18 0x0AE2 0x0928 0x0AD0     12     10    1   424  y  pcode
     19 0x0C68 0x0AE4 0x0C4F      8     12    1   363  y  pcode
     20 0x0CCA 0x0CB6 0x0CBF      2      0    1     9  y  pcode
     21 0x0D00 0x0CCC 0x0CF6      2      2    1    42  y  pcode
     22 0x0D80 0x0D02 0x0D73      2      6    1   113  y  pcode
     23 0x0DE8 0x0D82 0x0DDC      0      4    1    90  y  pcode
     24 0x1046 0x0E48 0x1033      8      4    1   491  y  pcode
     25 0x1074 0x1048 0x1069      0      0    1    33  y  pcode
     26 0x04D0 0x0478 0x04BF      2      2    2    71  y  pcode
     27 0x0E46 0x0DEA 0x0E3C      2      2    2    82  y  pcode
     28 0x10DE 0x1092 0x109E      0      0    1    12  y  pcode
     29 0x1090 0x1076 0x107A      0      0    2     4  y  pcode

--- segment  7  COMPINIT  dictslot=2  block=10  len=3226   mtype=pcode-lsb ver=2 nproc=10
      #   JTAB  enter   exit  param   data  lex  size  ok  kind
      1 0x0C82 0x0A46 0x0C71      0    518    1   555  y  pcode
      2 0x0106 0x0000 0x00FC      0      2    2   252  y  pcode
      3 0x0364 0x0108 0x0357      0     10    2   591  y  pcode
      4 0x0496 0x0366 0x048C      0     10    2   294  y  pcode
      5 0x04D4 0x0498 0x04C9      2     82    2    49  y  pcode
      6 0x0516 0x04D6 0x050B      2      2    2    53  y  pcode
      7 0x06D8 0x0518 0x06CC      0     16    2   436  y  pcode
      8 0x0898 0x06DA 0x0884      0     22    2   426  y  pcode
      9 0x09AC 0x089A 0x09A0      0      4    2   262  y  pcode
     10 0x0A44 0x09AE 0x0A3A      0      0    2   140  y  pcode

--- segment  8  DECLARAT  dictslot=3  block=17  len=7574   mtype=pcode-lsb ver=2 nproc=20
      #   JTAB  enter   exit  param   data  lex  size  ok  kind
      1 0x1D6A 0x1C0E 0x1D5C      8     22    1   334  y  pcode
      2 0x0020 0x0000 0x0015      8      0    2    21  y  pcode
      3 0x0CDA 0x0958 0x0CBC     12     26    2   868  y  pcode
      4 0x0340 0x0022 0x0328     12     26    3   774  y  pcode
      5 0x03D4 0x0342 0x03C8      6      6    3   134  y  pcode
      6 0x08B6 0x0746 0x08A1     10     42    3   347  y  pcode
      7 0x0496 0x03D6 0x048B      2      4    4   181  y  pcode
      8 0x0744 0x0498 0x0732      0      4    4   666  y  pcode
      9 0x0956 0x08B8 0x094C      0      2    3   148  y  pcode
     10 0x11BE 0x111C 0x11AF      0    514    2   147  y  pcode
     11 0x111A 0x0F5A 0x110E      2     44    3   436  y  pcode
     12 0x0F58 0x0DA0 0x0F4A      2      6    4   426  y  pcode
     13 0x0D9E 0x0D3E 0x0D93      4      4    5    85  y  pcode
     14 0x0D3C 0x0CDC 0x0D30     12      2    6    84  y  pcode
     15 0x1250 0x11C0 0x1241      0      8    2   129  y  pcode
     16 0x12EE 0x1252 0x12E1      0      8    2   143  y  pcode
     17 0x13C2 0x12F0 0x13B1      0     12    2   193  y  pcode
     18 0x152A 0x13C4 0x151A      0     12    2   342  y  pcode
     19 0x1C0C 0x17A6 0x1BF7      4     40    2  1105  y  pcode
     20 0x17A4 0x152C 0x178D     12     20    3   609  y  pcode

--- segment  9  BODYPART  dictslot=4  block=32  len=7208   mtype=pcode-lsb ver=2 nproc=37
      #   JTAB  enter   exit  param   data  lex  size  ok  kind
      1 0x1BDA 0x1BC2 0x1BD0     10      0    1    14  y  pcode
      2 0x01FE 0x0194 0x01F4      6      2    2    96  y  pcode
      3 0x0260 0x0200 0x0253      2      8    2    83  y  pcode
