SYSTEM.COMPILER segment/procedure map -- Apple Pascal 1.3
source image : Apple II Pascal 1.3 APPLE2_ 680-0284-A.dsk
file blocks  : 56..133 (78 blocks, 39936 bytes)
copyright    : COPYRIGHT 1979,1980,1983-1985 APPLE COMPUTER, INC. ALL RIGHTS RESERVED

Derived directly from the binary by tools/a2pascal/codefile.py.
VERIFIED BINARY FACT unless marked otherwise.

--- segment  1  PASCALCO  dictslot=1  block=1   len=5606   mtype=6502      ver=6 nproc=31
    contains native 6502 procedures: [2, 3]
      #   JTAB  enter   exit  param   data  lex  size  ok  kind
      1 0x11F0 0x1184 0x11C9      4   2710    0    69  y  pcode
      2 0x1510 0x11F2 0x150C      0     28    0   794  y  6502
      3 0x15A4 0x1512 0x15A0      0      4    0   142  y  6502
      4 0x0188 0x0000 0x0178      2    184    1   376  y  pcode
      5 0x0278 0x018A 0x026D      0      2    1   227  y  pcode
      6 0x037E 0x027A 0x0373      0    106    1   249  y  pcode
      7 0x03EA 0x0380 0x03DD      2      6    1    93  y  pcode
      8 0x079E 0x050A 0x0789      0     10    1   639  y  pcode
      9 0x07C6 0x07A0 0x07BB      4      0    1    27  y  pcode
     10 0x086C 0x07C8 0x085F      4      4    1   151  y  pcode
     11 0x08AC 0x086E 0x08A2      6      2    1    52  y  pcode
     12 0x08CA 0x08AE 0x08BF      6      0    1    17  y  pcode
     13 0x08F4 0x08CC 0x08E9      2      0    1    29  y  pcode
     14 0x04AE 0x03EC 0x04A3      0      0    1   183  y  pcode
     15 0x0D38 0x0CEE 0x0D2D      6      4    1    63  y  pcode
     16 0x0910 0x08F6 0x0904      8      0    1    14  y  pcode
     17 0x0934 0x0912 0x092A      6      0    1    24  y  pcode
     18 0x094E 0x0936 0x0944      6      0    1    14  y  pcode
     19 0x0964 0x0950 0x0959      6      0    1     9  y  pcode
     20 0x0B50 0x0966 0x0B3A     12     12    1   468  y  pcode
     21 0x0CEC 0x0B52 0x0CD3      8     12    1   385  y  pcode
     22 0x0D4E 0x0D3A 0x0D43      2      0    1     9  y  pcode
     23 0x0D84 0x0D50 0x0D7A      2      2    1    42  y  pcode
     24 0x0E04 0x0D86 0x0DF7      2      6    1   113  y  pcode
     25 0x0E6C 0x0E06 0x0E60      0      4    1    90  y  pcode
     26 0x10EE 0x0ED8 0x10DB      8      4    1   515  y  pcode
     27 0x1118 0x10F0 0x110E      0      0    1    30  y  pcode
     28 0x0508 0x04B0 0x04F7      2      2    2    71  y  pcode
     29 0x0ED6 0x0E6E 0x0ECC      6      2    2    94  y  pcode
     30 0x1182 0x1136 0x1142      0      0    1    12  y  pcode
     31 0x1134 0x111A 0x111E      0      0    2     4  y  pcode

--- segment  7  COMPINIT  dictslot=2  block=12  len=4032   mtype=pcode-lsb ver=6 nproc=11
      #   JTAB  enter   exit  param   data  lex  size  ok  kind
      1 0x0FA6 0x0BB8 0x0F8D      0    608    1   981  y  pcode
      2 0x0178 0x0000 0x016D      0      4    2   365  y  pcode
      3 0x042A 0x017A 0x041D      0     10    2   675  y  pcode
      4 0x055C 0x042C 0x0552      0     10    2   294  y  pcode
      5 0x059A 0x055E 0x058F      2     82    2    49  y  pcode
      6 0x05DC 0x059C 0x05D1      2      2    2    53  y  pcode
      7 0x079E 0x05DE 0x0792      0     16    2   436  y  pcode
      8 0x095E 0x07A0 0x094A      0     22    2   426  y  pcode
      9 0x0A72 0x0960 0x0A66      0      4    2   262  y  pcode
     10 0x0B0C 0x0A74 0x0B02      0      0    2   142  y  pcode
     11 0x0BB6 0x0B0E 0x0BAA      0      2    2   156  y  pcode

--- segment  8  DECLARAT  dictslot=3  block=20  len=7600   mtype=pcode-lsb ver=6 nproc=20
      #   JTAB  enter   exit  param   data  lex  size  ok  kind
      1 0x1D84 0x1C3C 0x1D76      8     22    1   314  y  pcode
      2 0x0020 0x0000 0x0015      8      0    2    21  y  pcode
      3 0x0CF8 0x0976 0x0CDA     12     26    2   868  y  pcode
      4 0x035E 0x0022 0x0344     12     26    3   802  y  pcode
      5 0x03F2 0x0360 0x03E6      6      6    3   134  y  pcode
      6 0x08D4 0x0764 0x08BF     10     42    3   347  y  pcode
      7 0x04B4 0x03F4 0x04A9      2      4    4   181  y  pcode
      8 0x0762 0x04B6 0x0750      0      4    4   666  y  pcode
      9 0x0974 0x08D6 0x096A      0      2    3   148  y  pcode
     10 0x11DC 0x113A 0x11CD      0    514    2   147  y  pcode
     11 0x1138 0x0F78 0x112C      2     44    3   436  y  pcode
     12 0x0F76 0x0DBE 0x0F68      2      6    4   426  y  pcode
     13 0x0DBC 0x0D5C 0x0DB1      4      4    5    85  y  pcode
     14 0x0D5A 0x0CFA 0x0D4E     16      2    6    84  y  pcode
     15 0x126E 0x11DE 0x125F      0      8    2   129  y  pcode
     16 0x130C 0x1270 0x12FF      0      8    2   143  y  pcode
     17 0x13E0 0x130E 0x13CF      0     12    2   193  y  pcode
     18 0x1548 0x13E2 0x1538      0     12    2   342  y  pcode
     19 0x1C3A 0x17D4 0x1C25      4     40    2  1105  y  pcode
     20 0x17D2 0x154A 0x17BB     12     20    3   625  y  pcode

--- segment  9  BODYPART  dictslot=4  block=35  len=7454   mtype=pcode-lsb ver=6 nproc=38
      #   JTAB  enter   exit  param   data  lex  size  ok  kind
      1 0x1CCE 0x1CB6 0x1CC4     10      0    1    14  y  pcode
