0A46 CE 09          CLP child 9
0A48 CE 0A          CLP child 10
0A4A 00             SLDC #0000
0A4B AB 4D          SRO 4D
0A4D 00             SLDC #0000
0A4E AB 08          SRO 08
0A50 A9 31          LDO 31
0A52 A1 56          FJP -> 0AAA
0A54 01             SLDC #0001
0A55 AB 09          SRO 09
0A57 07             SLDC #0007
0A58 CC 81          STL 81
0A5A 03             SLDC #0003
0A5B F0             OP$F0
0A5C CA 81          LDL 81
0A5E 03             SLDC #0003
0A5F C8 A1          LEQI A1
0A61 0D             SLDC #000D
0A62 B6 02 03       LOD 02,03
0A65 CD 00 16       CXP proc 0, seg $16
0A68 F0             OP$F0
0A69 01             SLDC #0001
0A6A 82             ADI
0A6B AB 09          SRO 09
0A6D B9 F6          UJP -> 0A65
0A6F B6 02 03       LOD 02,03
0A72 D7             NOP
0A73 A6 1B 41 70 70 6C 65 20 50 61 73 63 61 6C 20 43 6F 6D 70 69 6C 65 72 20 5B 31 2E 31 5D LSA "Apple Pascal Compiler [1.1]"
0A90 00             SLDC #0000
0A91 CD 00 13       CXP proc 0, seg $13
0A94 B6 02 03       LOD 02,03
0A97 CD 00 16       CXP proc 0, seg $16
0A9A B6 02 03       LOD 02,03
0A9D A6 06 3C 20 20 20 30 3E LSA "<   0>"
0AA5 D7             NOP
0AA6 00             SLDC #0000
0AA7 CD 00 13       CXP proc 0, seg $13
0AAA A5 80          LAO 80
0AAC 83             ADR
0AAD 00             SLDC #0000
0AAE A4 04          IXA 04
0AB0 CC 81          STL 81
0AB2 03             SLDC #0003
0AB3 CA 81          LDL 81
0AB5 03             SLDC #0003
0AB6 9F             LOCN
0AB7 9A             STO
0AB8 CA 81          LDL 81
0ABA 03             SLDC #0003
0ABB A2 02          INC 02
0ABD 9F             LOCN
0ABE 9A             STO
0ABF CA 81          LDL 81
0AC1 03             SLDC #0003
0AC2 A2 03          INC 03
0AC4 9F             LOCN
0AC5 9A             STO
0AC6 CA 81          LDL 81
0AC8 03             SLDC #0003
0AC9 A2 01          INC 01
0ACB 00             SLDC #0000
0ACC 9A             STO
0ACD 9E 28          CSP 40
0ACF AB 59          SRO 59
0AD1 CD 01 03       CXP proc 1, seg $03
0AD4 CD 01 06       CXP proc 1, seg $06
